x	y
263.5	200.0
264.0	200.0
264.5	200.0
265.0	200.0
265.5	200.0
266.0	200.0
266.5	200.0
267.0	200.0
267.5	200.0
268.0	200.0
268.5	200.0
269.0	200.0
269.5	200.0
270.0	200.0
270.5	200.0
271.0	200.0
271.5	200.0
272.0	200.0
272.5	200.0
273.0	200.0
273.5	200.0
274.0	200.0
274.5	200.0
275.0	200.0
275.5	200.0
276.0	200.0
276.5	200.0
277.0	200.0
277.5	200.0
278.0	200.0
278.5	200.0
279.0	200.0
279.5	200.0
280.0	200.0
280.5	200.0
281.0	200.0
281.5	200.0
282.0	200.0
282.5	200.0
283.0	200.0
283.5	200.0
284.0	200.0
284.5	200.0
285.0	200.0
285.5	200.0
286.0	200.0
286.5	200.0
287.0	200.0
287.5	200.0
288.0	200.0
288.5	200.0
289.0	200.0
289.5	200.0
290.0	200.0
290.5	200.0
291.0	200.0
291.5	200.0
292.0	200.0
292.5	200.0
293.0	200.0
293.5	200.0
294.0	200.0
294.5	200.0
295.0	200.0
295.5	200.0
296.0018	200.07584
296.48663	200.22581
296.9436	200.44656
297.36246	200.73312
297.7338	201.07906
298.04926	201.4766
298.30176	201.91681
298.48566	202.38982
298.5968	202.885
298.6327	203.39122
298.59253	203.89713
298.47723	204.39136
298.28937	204.86281
298.03317	205.30089
297.7144	205.69576
297.34015	206.03856
296.91888	206.32158
296.46005	206.53847
295.97397	206.68436
295.47156	206.75598
294.96408	206.75171
294.46292	206.67165
293.97937	206.5176
293.52426	206.29301
293.10782	206.00294
292.7394	205.6539
292.4273	205.25372
292.1785	204.8114
291.9986	204.33687
291.89163	203.84077
291.86	203.33426
291.9044	202.8287
292.02383	202.33546
292.21567	201.86562
292.47556	201.4297
292.79767	201.03752
293.17477	200.69788
293.5984	200.41841
294.05902	200.20538
294.5463	200.06358
295.0493	199.9962
295.5567	200.00473
296.05716	200.089
296.5394	200.24712
296.99258	200.47551
297.40656	200.76907
297.772	201.1212
298.08075	201.52399
298.32584	201.96838
298.50174	202.44441
298.67505	202.9134
298.84836	203.3824
299.02167	203.8514
299.19498	204.32039
299.3683	204.78938
299.5416	205.25838
299.7149	205.72737
299.8882	206.19637
300.06152	206.66536
300.23483	207.13435
300.40814	207.60335
300.58145	208.07234
300.75476	208.54134
300.92807	209.01033
301.10138	209.47932
301.2747	209.94832
301.448	210.41731
301.6213	210.8863
301.79462	211.3553
301.96793	211.8243
302.14124	212.29329
302.31454	212.76228
302.48785	213.23128
302.66116	213.70027
302.83447	214.16927
303.00778	214.63826
303.1811	215.10725
303.3544	215.57625
303.5277	216.04524
303.70102	216.51424
303.87433	216.98323
